App Name,Developer,Genre,In-app Purchases,Interactive Elements,Last Update,Minimum Age,Number of Installations,Number of Reviews,Offered By,Rating,Required Android Version,Size,Version
"Eyecon: Caller ID, Calls and Phone Contacts","Visit website
support@eyecon-app.com
Privacy Policy
10685-B Hazelhurst Dr. #24067 Houston, TX 77043 USA",Eyecon Phone Dialer & ContactsCommunication,"₹10.00 - ₹8,400.00 per item",No Interactive Elements,"June 24, 2020","Rated for 3+
Learn More","10,000,000+","376,699 total",Eyecon Phone Dialer & Contacts,4.5,4.1 and up,26M,2.0.320
Basics of C Programming,"Visit website
info@engineeringapps.net
Privacy Policy
New Delhi,India,Pin Code: 110003",Engineering AppsEducation,Completely free,No Interactive Elements,"April 18, 2018","Rated for 3+
Learn More","50,000+",291 total,Engineering Apps,4.0,4.0 and up,4.2M,6.2
Facebook,"Visit website
android-support@fb.com
Privacy Policy
1 Hacker Way Menlo Park, CA 94025",FacebookSocial,"₹65.00 - ₹26,000.00 per item","Users Interact, Shares Info, Shares Location, Digital Purchases","June 25, 2020","Rated for 12+
Parental Guidance Recommended
Learn More","5,000,000,000+","100,708,752 total",Facebook,4.2,Varies with device,Varies with device,276.0.0.44.127
Facebook Lite,"Visit website
lite-android-support@fb.com
Privacy Policy
1 Hacker Way Menlo Park, CA 94025",FacebookSocial,Completely free,"Users Interact, Shares Info, Shares Location","June 23, 2020","Rated for 12+
Parental Guidance Recommended
Learn More","1,000,000,000+","14,667,249 total",Facebook,4.2,Varies with device,Varies with device,Varies with device
Messenger Lite: Free Calls & Messages,"android-support@fb.com
Privacy Policy
1 Hacker Way Menlo Park, CA 94025",FacebookCommunication,Completely free,Users Interact,"June 25, 2020","Rated for 3+
Learn More","500,000,000+","3,729,252 total",Facebook,4.2,4.0 and up,Varies with device,93.0.0.3.121
Messenger – Text and Video Chat for Free,"Visit website
android-support@fb.com
Privacy Policy
1 Hacker Way Menlo Park, CA 94025",FacebookCommunication,"₹65.00 - ₹26,000.00 per item","Users Interact, Shares Location, Digital Purchases","June 22, 2020","Rated for 3+
Learn More","1,000,000,000+","73,158,586 total",Facebook,4.3,Varies with device,Varies with device,Varies with device
Vienna U-Bahn,"fairenoughsoftware@gmail.com
Privacy Policy",Fair Enough SoftwareMaps & Navigation,Completely free,No Interactive Elements,"November 4, 2018","Rated for 3+
Learn More","50,000+",189 total,Fair Enough Software,4.0,4.0 and up,2.5M,1.26.0
BTS V wallpaper HD Live 3D effect,"faizytech2019@gmail.com
Privacy Policy
Gatot Subroto 10, Jakarta, Indonesia",Faizy TechArt & Design,₹800.00 per item,No Interactive Elements,"December 4, 2019","Rated for 3+
Learn More","50,000+",473 total,Faizy Tech,4.6,4.1 and up,5.6M,1.6
⭐ BTS - V Kim Taehyung Wallpaper HD Photos 2020,"faizytech2019@gmail.com
Privacy Policy
Gatot Subroto 10, Jakarta, Indonesia",Faizy TechArt & Design,Completely free,No Interactive Elements,"May 27, 2019","Rated for 3+
Learn More","100,000+","5,549 total",Faizy Tech,4.7,4.1 and up,5.9M,1.7
FancyU - Video Chat App,"fancyu_team@outlook.com
Privacy Policy
17th Floor, Building 3, Zhongnan E-Commerce Industrial Park, No. 355 Yingbin East Road, High-tech Zone, Yiyang City",F&W TeamSocial,"₹71.00 - ₹7,000.00 per item","Users Interact, Shares Location, In-App Purchases","June 25, 2020","Rated for 18+
Learn More","1,000,000+","13,767 total",F&W Team,4.3,4.2 and up,29M,1.17.0
Super Model Growth Diary,"betterplayapp@hotmail.com
Privacy Policy",lemonbabEntertainment,Completely free,No Interactive Elements,"June 5, 2020","Rated for 12+
Nudity
Learn More","10,000,000+","19,582 total",lemonbab,4.2,4.1 and up,64M,1.0.14
F-Track,"Visit website
faveoplaystore@gmail.com
Privacy Policy
112 Navjeevan Complex station Road Jaipur Rajasthan India",Faveo Management Services Private LimitedBusiness,Completely free,"Users Interact, Shares Location","June 22, 2020","Rated for 3+
Learn More","1,000+",39 total,Faveo Management Services Private Limited,4.1,4.2 and up,30M,2.1.95
Zombie Frontier 3: Sniper FPS,"seasnake.198209@gmail.com
Privacy Policy
RM 1701(228) 17/F HENAN BLDG NO 90 JAFFE RD WANCHAI HongKong",FT GamesAction,"₹85.00 - ₹8,500.00 per item",In-Game Purchases,"June 22, 2020","Rated for 16+
Strong Violence
Learn More","50,000,000+","438,049 total",FT Games,4.0,4.4 and up,96M,2.36
J.ME Fly,"Visit website
byfang@feimarobotics.com
Privacy Policy","Shenzhen Feima Robotics Co., LimitedEntertainment",Completely free,No Interactive Elements,"August 27, 2018","Rated for 3+
Learn More","1,000+",46 total,"Shenzhen Feima Robotics Co., Limited",3.6,8.0 and up,98M,0.4.5
Ultimate Super Stick Z Warrior Dragon,"dominguej20@gmail.com
Privacy Policy",diras LLCAction,Completely free,In-App Purchases,"December 31, 2019","Rated for 3+
Learn More","100,000+",580 total,diras LLC,3.7,4.1 and up,39M,7
Hill Climb Racing 2,"Visit website
support@fingersoft.com
Privacy Policy
Fingersoft Oy Aleksanterinkatu 4-6 90100 Oulu",FingersoftRacing,"₹10.00 - ₹1,600.00 per item","Users Interact, In-Game Purchases","June 25, 2020","Rated for 3+
Learn More","100,000,000+","3,817,192 total",Fingersoft,4.4,4.2 and up,133M,1.37.4
Flexiroam X,"Visit website
support@flexiroam.com
Privacy Policy",Flexiroam Asia LimitedTravel & Local,Completely free,No Interactive Elements,"June 2, 2020","Rated for 3+
Learn More","100,000+","1,384 total",Flexiroam Asia Limited,4.0,4.1 and up,13M,3.8.5.01
Flipkart Online Shopping App,"Visit website
app-feedback@flipkart.com
Privacy Policy",FlipkartShopping,Completely free,In-App Purchases,"June 13, 2020","Rated for 12+
Parental Guidance Recommended
Learn More","100,000,000+","12,038,817 total",Flipkart,4.5,5.1 and up,32M,7.6
Flipkart Seller Hub,"Visit website
seller-app-feedback@flipkart.com
Privacy Policy",FlipkartBusiness,Completely free,No Interactive Elements,"June 15, 2020","Rated for 3+
Learn More","1,000,000+","17,622 total",Flipkart,4.2,5.0 and up,30M,12.0.3
M-Governance,"Visit website
coc.gvsccl@gmail.com
Privacy Policy",GVSCCLCommunication,Completely free,No Interactive Elements,"June 15, 2020","Rated for 3+
Learn More","10,000+",34 total,GVSCCL,4.6,4.1 and up,9.3M,1.1.10
MBit Music Particle.ly Video Status Maker & Editor,"Visit website
support@mbitmusic.in
Privacy Policy
Rajkot, Gujarat, India.",MBit Music Inc.Video Players & Editors,Completely free,No Interactive Elements,"June 16, 2020","Rated for 3+
Learn More","10,000,000+","81,498 total",MBit Music Inc.,4.5,5.0 and up,32M,4.6
Food On Q,"Visit website
danny@foodonq.nz
Privacy Policy",Food On QFood & Drink,Completely free,No Interactive Elements,"June 24, 2020","Rated for 3+
Learn More","1,000+",8 total,Food On Q,4.1,4.4 and up,11M,4.19.3
H Mart Betul,"offlineitagency@gmail.com
Privacy Policy",OFFLINE IT AGENCYShopping,Completely free,No Interactive Elements,"October 28, 2019","Rated for 3+
Learn More","1,000+",45 total,OFFLINE IT AGENCY,4.4,4.1 and up,7.5M,1.5.7
Fossil Q Legacy,"Visit website
fossilq@fossil.com
Privacy Policy
901 South Central Expressway Richardson, Texas, 75080","Fossil Group, Inc.Lifestyle",Completely free,No Interactive Elements,"March 30, 2020","Rated for 3+
Learn More","100,000+","1,305 total","Fossil Group, Inc.",2.4,4.4 and up,59M,1.17.4
100.3 The Q! The Island’s Rock,"Visit website
feedback@futurimedia.com
Privacy Policy",Jim Pattison Broadcast Group LPEntertainment,Completely free,Shares Info,"March 9, 2020","Rated for 12+
Mild Swearing
Learn More","5,000+",130 total,Jim Pattison Broadcast Group LP,4.5,4.1 and up,50M,11.13.1
F - Pay,"Visit website
support@fpay.net.in
Privacy Policy",F-Pay™Business,Completely free,No Interactive Elements,"April 12, 2020","Rated for 3+
Learn More","5,000+",165 total,F-Pay™,4.5,4.4 and up,4.7M,1.25
Ludo Game : Ludo 2020 Star Game,"freeboardgame@gmail.com
Privacy Policy",Ludo GameBoard,Completely free,No Interactive Elements,"May 17, 2020","Rated for 3+
Learn More","10,000,000+","64,455 total",Ludo Game,4.0,4.2 and up,16M,2.9
"Freecharge - Recharges & Bills, Mutual Funds, UPI","Visit website
mobile@freecharge.com
Privacy Policy
Freecharge Payment Technologies Pvt Ltd 16th Floor, Tower C, DLF Cyber Greens, DLF Cyber City, DLF Phase 3, Gurugram, Haryana 122022",FreechargeFinance,Completely free,Digital Purchases,"June 19, 2020","Rated for 3+
Learn More","10,000,000+","1,145,143 total",Freecharge,4.1,4.4 and up,15M,8.7.5
Programming Hub: Learn to code,"Visit website
feedback@prghub.com
Privacy Policy
RightSol PTE LTD WeWork 1161 Mission St San Francisco, CA 94103",Coding and ProgrammingEducation,"₹10.00 - ₹26,000.00 per item",Digital Purchases,"June 26, 2020","Rated for 3+
Learn More","5,000,000+","113,758 total",Coding and Programming,4.7,Varies with device,Varies with device,Varies with device
U-VPN (Free Unlimited & Very Fast & Secure VPN),"Visit website
ayusuphmhina@gmail.com
Privacy Policy",5Star Dev LTDTools,Completely free,No Interactive Elements,"June 12, 2020","Rated for 3+
Learn More","500,000+","8,907 total",5Star Dev LTD,4.5,5.0 and up,24M,3.1.0
T-Ration,"Visit website
tgnicfsc@gmail.com
Privacy Policy","Official App of CCS & NIC, TelanganaProductivity",Completely free,No Interactive Elements,"May 21, 2020","Rated for 3+
Learn More","100,000+","1,424 total","Official App of CCS & NIC, Telangana",4.0,4.2 and up,7.1M,1.17
K-9 Mail,"Visit website
k9mail.project+play@gmail.com
Privacy Policy",K-9 Dog WalkersCommunication,Completely free,Users Interact,"September 7, 2018","Rated for 3+
Learn More","5,000,000+","91,326 total",K-9 Dog Walkers,3.9,4.0.3 and up,4.6M,5.600
F-Secure ID PROTECTION with password manager,"Visit website
playstore@f-secure.com
Privacy Policy
Tammasaarenkatu 7 PL 24 00181 Helsinki Finland",F-Secure CorporationTools,"₹2,499.00 - ₹3,850.00 per item",No Interactive Elements,"May 28, 2020","Rated for 3+
Learn More","1,000+",23 total,F-Secure Corporation,4.4,6.0 and up,14M,5.1.0
F-Secure KEY Password manager,"Visit website
playstore@f-secure.com
Privacy Policy
Tammasaarenkatu 7 PL 24 00181 Helsinki Finland",F-Secure CorporationTools,"₹83.78 - ₹1,700.00 per item",No Interactive Elements,"February 19, 2020","Rated for 3+
Learn More","100,000+","3,442 total",F-Secure Corporation,4.4,4.0 and up,8.8M,4.9.8.2
F-Secure Mobile Security,"Visit website
playstore@f-secure.com
Privacy Policy
Tammasaarenkatu 7 PL 24 00181 Helsinki Finland",F-Secure CorporationTools,₹110.91 - ₹512.75 per item,Unrestricted Internet,"January 27, 2020","Rated for 3+
Learn More","500,000+","14,157 total",F-Secure Corporation,4.2,5.0 and up,9.1M,17.8.0014763
F-Secure SENSE Router,"Visit website
playstore@f-secure.com
Privacy Policy
Tammasaarenkatu 7 PL 24 00181 Helsinki Finland",F-Secure CorporationTools,Completely free,No Interactive Elements,"March 19, 2020","Rated for 3+
Learn More","10,000+",98 total,F-Secure Corporation,4.3,5.0 and up,13M,1.0.1108
F-Stop Gallery,"Visit website
support@fstopapp.com
Privacy Policy
406 Horizon Dr W St. Charles, IL 60175",Seelye EngineeringPhotography,Completely free,No Interactive Elements,"June 22, 2020","Rated for 3+
Learn More","1,000,000+","15,697 total",Seelye Engineering,4.2,4.1 and up,18M,5.3.5
happn – Local dating app,"Visit website
support@happn.fr
Privacy Policy
8, rue du sentier 75002 PARIS France",happnLifestyle,"₹50.00 - ₹12,000.00 per item","Users Interact, Digital Purchases","June 23, 2020","Rated for 18+
Learn More","50,000,000+","1,489,256 total",happn,4.2,5.0 and up,60M,25.3.1
Real Commando Secret Mission - Free Shooting Games,"Visit website
rcsm.help@gmail.com
Privacy Policy
Al-Seeb Ma'abillah Near Gulf College Oman",GAMEXISAction,"₹75.68 - ₹1,400.00 per item",In-Game Purchases,"June 26, 2020","Rated for 16+
Strong Violence
Learn More","50,000,000+","308,287 total",GAMEXIS,4.0,4.1 and up,37M,11.6
War Machines: Best Free Online War & Military Game,"Visit website
support+warmachines@fungames-forfree.com
Privacy Policy
25-28 North Wall Quay, Dublin 01, IRELAND",Fun Games For FreeAction,"₹80.00 - ₹8,900.00 per item","Users Interact, Digital Purchases","June 19, 2020","Rated for 12+
Moderate Violence, Sexual Innuendo
Learn More","50,000,000+","984,027 total",Fun Games For Free,4.2,4.1 and up,82M,5.2.0
Flight Pilot Simulator 3D Free,"Visit website
support+flightpilot@fungames-forfree.com
Privacy Policy
25-28 North Wall Quay, Dublin 01, IRELAND",Fun Games For FreeRole Playing,"₹131.25 - ₹4,750.00 per item",Digital Purchases,"February 27, 2020","Rated for 3+
Learn More","100,000,000+","2,508,998 total",Fun Games For Free,4.3,4.1 and up,76M,2.1.13
Sniper 3D: Fun Free Online FPS Shooting Game,"Visit website
support+sniper3d@fungames-forfree.com
Privacy Policy
25-28 North Wall Quay, Dublin 01, IRELAND",Fun Games For FreeAction,"₹64.53 - ₹8,700.00 per item",Digital Purchases,"June 16, 2020","Rated for 18+
Extreme Violence
Learn More","100,000,000+","13,147,918 total",Fun Games For Free,4.4,Varies with device,Varies with device,Varies with device
Zili - Funny Videos,"Visit website
Zili.feedback@gmail.com
Privacy Policy",ZiliEntertainment,Completely free,Users Interact,"June 20, 2020","Rated for 12+
Parental Guidance Recommended
Learn More","10,000,000+","113,203 total",Zili,4.0,4.4 and up,28M,2.12.10.1732
Gaana Music Hindi Tamil Telugu Songs Free MP3 App,"Visit website
feedback@gaana.com
Privacy Policy
Gaana Office, FC - 4, 2nd Floor, Film City, Sector 16 A, Noida 201301",Gamma Gaana LtdMusic & Audio,"₹10.00 - ₹2,442.32 per item",In-App Purchases,"June 18, 2020","Rated for 12+
Parental Guidance Recommended
Learn More","100,000,000+","3,195,455 total",Gamma Gaana Ltd,4.5,4.1 and up,22M,8.5.3
S Launcher for Galaxy TouchWiz,"ssappservice@gmail.com
Privacy Policy
Flat Z, 12/F Block 11 Shek Kong Yuen Long, New Territories Hong Kong",SS AppPersonalization,Completely free,No Interactive Elements,"February 23, 2019","Rated for 3+
Learn More","1,000,000+","17,899 total",SS App,4.3,4.1 and up,2.2M,1.1.2
"S7/S8/S9 Launcher for Galaxy S/A/J/C, S9 theme","Visit website
nnappteam@gmail.com
Privacy Policy
GuangDong, GuangZhou, Tianhe Software Park, YueHe Building",N Dev TeamTools,"₹170.00 - ₹1,800.00 per item",No Interactive Elements,"June 17, 2020","Rated for 3+
Learn More","1,000,000+","7,421 total",N Dev Team,4.5,4.1 and up,10.0M,5.5
The Tribez: Build a Village,"Visit website
support_tribez@game-insight.com
Privacy Policy
Antakalnio st. 17, LT-10312, Vilnius, Lithuania",Game InsightSimulation,"₹60.00 - ₹12,000.00 per item",In-Game Purchases,"June 25, 2020","Rated for 12+
Horror
Learn More","10,000,000+","2,200,374 total",Game Insight,4.4,5.0 and up,117M,12.6.3
UTP - Ultimate Teen Patti (3 Patti),"Visit website
support@ultimateteenpatti.com
Privacy Policy
PO Box 17640, Malad (W), Mumbai 400 064, Maharashtra, India",Ultimate-GamesCasino,"₹10.00 - ₹26,000.00 per item","Users Interact, Shares Info, Digital Purchases","March 3, 2020","Rated for 12+
Gambling
Learn More","10,000,000+","200,307 total",Ultimate-Games,4.2,4.0.3 and up,25M,38.9.6
Perfect Piano,"Visit website
changzhi2009@gmail.com
Privacy Policy
Room 1505, 14#, JianWai SOHO, ChaoYang District, Beijing, PRC",Revontulet Soft IncMusic & Audio,"₹70.00 - ₹1,150.00 per item","Users Interact, Shares Location, Digital Purchases","June 1, 2020","Rated for 3+
Learn More","50,000,000+","922,598 total",Revontulet Soft Inc,4.4,5.0 and up,47M,7.5.3
X Drum - 3D & AR,"Visit website
changzhi2009@gmail.com
Privacy Policy
Room 1505, 14#, JianWai SOHO, ChaoYang District, Beijing, PRC",Revontulet Soft IncMusic & Audio,₹140.00 - ₹620.00 per item,In-App Purchases,"June 9, 2020","Rated for 3+
Learn More","1,000,000+","3,161 total",Revontulet Soft Inc,4.1,6.0 and up,67M,3.6
QR & Barcode Scanner,"Visit website
gammaplay.com@gmail.com
Privacy Policy
GAMMA PLAY LIMITED 31/F CHINACHEM CENTURY TOWER, 178 GLOUCESTER ROAD, WANCHAI, HONG KONG",Gamma PlayTools,Completely free,No Interactive Elements,"June 4, 2020","Rated for 3+
Learn More","100,000,000+","1,231,579 total",Gamma Play,4.5,4.1 and up,6.4M,2.0.22
GGMM-M Series,"Visit website
support@ggmm.com
Privacy Policy","GGMM Internationl Co., Ltd.Music & Audio",Completely free,No Interactive Elements,"December 7, 2019","Rated for 3+
Learn More","10,000+",169 total,"GGMM Internationl Co., Ltd.",1.8,4.4 and up,15M,3.3.0
Piano Free - Keyboard with Magic Tiles Music Games,"Visit website
support@gismart.com
Privacy Policy
22 Great Marlborough Street London, UK W1F 7HU",GismartMusic,"₹85.00 - ₹6,300.00 per item",Digital Purchases,"June 15, 2020","Rated for 3+
Learn More","100,000,000+","1,190,207 total",Gismart,4.1,5.0 and up,71M,1.57
H. pylori Care,"Visit website
administrator@glassbyte.com
GlassByte Limited, Mulhuddart Co Dublin, Ireland",GlassByteMedical,Completely free,No Interactive Elements,"June 8, 2017","Rated for 3+
Learn More","5,000+",11 total,GlassByte,5.0,4.0.3 and up,2.2M,1.0
K-POP Music Player,"music.evercreation@gmail.com
Privacy Policy
Yeonmujang 13-9, Seongdong, Seoul, Korea",EvercreationMusic & Audio,₹200.00 per item,In-App Purchases,"August 8, 2019","Rated for 12+
Sexual Innuendo
Learn More","100,000+",844 total,Evercreation,4.1,5.0 and up,4.8M,1.2.6
صور مزخرفة لحرف H - بدون نت 2020,"Visit website
t.globaldev@gmail.com
Privacy Policy",global studioLifestyle,Completely free,No Interactive Elements,"August 27, 2019","Rated for 12+
Mild Swearing
Learn More","50,000+",753 total,global studio,4.0,4.0.3 and up,27M,1.2
RC City Police Heavy Traffic Racer,"globalapps01@gmail.com
Privacy Policy",GlobalApps HRacing,Completely free,No Interactive Elements,"March 20, 2020","Rated for 3+
Learn More","1,000,000+","3,670 total",GlobalApps H,4.0,4.1 and up,21M,0.0.8
Heavy Traffic Racer: Speedy,"globalapps01@gmail.com
Privacy Policy",GlobalApps HRacing,Completely free,No Interactive Elements,"April 21, 2020","Rated for 3+
Learn More","10,000,000+","41,465 total",GlobalApps H,3.9,4.2 and up,28M,0.1.4
صور حرف M مزخرفة 2020 💖 بدون نت,"Visit website
t.globaldev@gmail.com
Privacy Policy",global studioLifestyle,Completely free,No Interactive Elements,"March 24, 2020","Rated for 12+
Mild Swearing
Learn More","10,000+",0,global studio,-1,4.0.3 and up,17M,1.6
FRONTLINE COMMANDO: D-DAY,"Visit website
androidsupport@glu.com
Privacy Policy
875 Howard, Suite 100 San Francisco CA 94103",GluAction,"₹269.00 - ₹7,900.00 per item",Digital Purchases,"May 16, 2014","Rated for 16+
Strong Violence
Learn More","10,000,000+","1,919,527 total",Glu,4.0,2.1 and up,14M,3.0.4
